Model,RMSE,MAE,R²,Residual Std,CV R² Mean,CV R² Std
Linear Regression,0.3271053364896622,0.27169605111452727,0.9897196732076432,0.32712364469260746,0.9898054550471498,0.0004934114536184
SVR,0.4245874784684307,0.33623894074346095,0.982679276616726,0.42452744912860757,0.9814007664264603,0.0008637129622483
Random Forest,1.056978600795304,0.8397937094611766,0.8926593919316477,1.0572471120295364,0.8823615122663585,0.0030286624772658
XGBoost,0.43106829796567486,0.3425365995388163,0.982146480962536,0.43120586301897973,0.9791945417722068,0.00051130786761
